n_genes_in_program,program,program_name,gene,gene_source,lineage,role,cap_source_celltypes,wilcoxon_source_celltypes,methods_summary
47,GC_module,GC B module,CD74,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,CD79A,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,CD79B,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,CD83,cap_marker;curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,CXCR4,cap_marker;curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,CXCR5,cap_marker,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,GAPDH,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HLA-DMA,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HLA-DQA1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HLA-DRA,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HLA-DRB1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HMGA1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HMGB1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HMGB2,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HMGN1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,HMGN2,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,LMO2,curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,LRMP,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,MARCKSL1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,MKI67,cap_marker,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,MME,cap_marker;curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,MS4A1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,NEIL1,cap_marker,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,OAZ1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,POU2F2,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,PTMA,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,RGS13,cap_marker;curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,SERF2,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,SLC25A5,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,SMIM14,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,STMN1,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,SUGCT,curated_staple,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,SWAP70,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,TCL1A,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,TNFRSF13C,cap_marker,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,TUBB,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
47,GC_module,GC B module,VPREB3,wilcoxon_expansion,lymphoid,featured,GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ); Germinal Center B Cells (GC B),GC B Dark Zone (GC B DZ); GC B Light Zone (GC B LZ),"GC B program built from CAP taxonomy markers for germinal-center / dark-zone / light-zone B cells (plus curated GC staples such as AICDA, BCL6, RGS13, CXCR4, CD83, MME, LMO2, SUGCT), expanded with top Wilcoxon marker genes from atlas GC B cells, spanning B-cell identity, MHC-II presentation, proliferation, and zone-associated GC programs."
