column_0,dataset_id,consortia,study_pi,contact_email,batch_condition,default_embedding,sequencing_platform,assay_ontology_term,assay_ontology_term_id,reference_genome,alignment_software,intron_inclusion,ambient_count_correction,doublet_detection,sequenced_fragment,gene_annotation_version,comments,description,publication_doi,protocol_url,worksheet
"",Wang2020,"","yeguang,chen",ygchen@tsinghua.edu.cn,sample_id,umap,Illumina,10x 3' v2,EFO:0009899,GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,no,"","",v98,re-aligned by PanGI,"",10.1084/jem.20191130,,Wang2020_HCA_tier
"",Burclaff2022,HCA,"Magness,Scott","Scott Magness, scott_magness@med.unc.edu",donor_id,umap,Illumina,10x 3' v3,EFO:0009922,GRCh38,cellranger_4.0.0,no,none,manual,3 prime tag,Ensembl 104,Antibody hashtagging was used to computationally separate each cell's region of orgin after sequencing,Single cell dataset of intestinal epithelium from 3 disease-free organ donors,10.1016/j.jcmgh.2022.02.007,https://www.cmghjournal.org/article/S2352-345X(22)00034-0/fulltext,Burclaff2022_HCA_tier
"",Jaeger2021,"","marco,colonna",mcolonna@wustl.edu,doi,umap,"","","",GRCh38,STAR,no,no,none,"",Ensembl,"","",10.1038/s41467-021-22164-6,,Jaeger2021_HCA_tier
"",Kong2023,HCA,"ramnik,xavier",xavier@molbio.mgh.harvard.edu,"",umap,"","","",GRCh38,CellRanger_v3.0.2,"",cellbender,scrublet,"","","","",10.1016/j.immuni.2023.01.002,,Kong2023_HCA_tier
"",Krzak2023,HCA,"anderson,carl",ca3@sanger.ac.uk,"",umap,"","","",GRCh38,CellRanger_v3.0.2,no,cellbender,scrublet,"",v98,"","",10.1101/2023.09.06.23295056,,Krzak2023_HCA_tier
"",Huang2019,"","yuxia,zhang","sitangg@126.com, fbai@pku.edu.cn, ymlyxw@hotmail.com, yuxia.zhang@gwcmc.org","",umap,"","","",GRCh38,Cell Ranger v2.1.1,"",no,"","","","","",10.1016/j.cell.2019.10.027,,Huang2019_HCA_tier
"",Parikh2019,"","alison,simmons",alison.simmons@imm.ox.ac.uk,doi,umap,"","","",GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,no,"","",v98,re-aligned by PanGI,"",10.1038/s41586-019-0992-y,,Parikh2019_HCA_tier
"",Yu2021,HCA,"gray,camp",grayson.camp@iob.ch,doi,umap,"","","",GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,no,manual,"",v98,re-aligned by PanGI,"",10.1016/j.cell.2021.04.028,,Yu2021_HCA_tier
,ArendsHelmsley,HCA,"Arends,Mark",m.arends@ed.ac.uk; D.Houghton@hw.ac.uk; Michael.glinka@ed.ac.uk; A.G.Burger@hw.ac.uk,"","",Illumina,10x 3' v2,EFO:0009899,GRCh38,cellranger_7.1.0,yes,none,"doublet_finder, manual",3 prime tag,Ensembl 98,"","",not_applicable,,ArendsHelmsley_HCA_tier
"",Zheng2024,"","kean,leslie",jose.ordovas-montanes@childrens.harvard.edu,assay_ontology_term,umap,"","","",GRCh38,cellranger_2.2,no,"","","","","","",10.7554/eLife.91792.1,,Zheng2024_HCA_tier
"",AgaceHelmsley1,HCA,"Agace,William",williamagace@sund.ku.dk,P1_HLADR+,umap,Illumina,10x 3' v2,EFO:0009899,GRCh38,cellranger_8.0.0,yes,none,manual,3 prime tag,"",Count matrices based on anonymized FASTQ files using the BAMboozled platform (PMID: 34711808),"",10.1101/2021.03.28.437379,https://doi.org/10.1101/2021.03.28.437379,AgaceHelmsley_HCA_tier
"",AgaceHelmsley2,HCA,"Agace,William",williamagace@sund.ku.dk,P2_HLADR+,umap,Illumina,10x 3' v2,EFO:0009899,GRCh38,cellranger_8.0.0,yes,none,manual,3 prime tag,"",Count matrices based on anonymized FASTQ files using the BAMboozled platform (PMID: 34711808),"",10.1101/2021.03.28.437379,https://doi.org/10.1101/2021.03.28.437379,AgaceHelmsley_HCA_tier
"",AgaceHelmsley3,HCA,"Agace,William",williamagace@sund.ku.dk,P7,umap,Illumina,10x 3' v3,EFO:0009922,GRCh38,cellranger_8.0.0,yes,none,manual,3 prime tag,"",Count matrices based on anonymized FASTQ files using the BAMboozled platform (PMID: 34711808),"",Not published yet,Not published yet,AgaceHelmsley_HCA_tier
"",Uzzan2022,HCA,"saurabh,mehandru",saurabh.mehandru@mssm.edu,doi,umap,"","","",GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,no,"","",v98,re-aligned by PanGI,"",10.1038/s41591-022-01680-y,,Uzzan2022_HCA_tier
"",Dominguez2022,HCA,"sarah,teichmann",st9@sanger.ac.uk,donor_id,umap,Illumina,10x 5' v1,EFO:0011025,GRCh38,cellranger_6.1.1,yes,none,scrublet,5 prime tag,v98,"","",10.1126/science.abl5197,,Dominguez2022_HCA_tier
"",DominguezUnpub,HCA,"sarah,teichmann",st9@sanger.ac.uk,donor_id,umap,Illumina,10x 5' v2,EFO:0009900,GRCh38,cellranger_6.1.1,yes,none,scrublet,5 prime tag,,,,,,Dominguez2022_HCA_tier
"",DominguezUnpub2,HCA,"sarah,teichmann",st9@sanger.ac.uk,donor_id,umap,Illumina,10x 3' v3,EFO:0009922,GRCh38,cellranger_6.1.1,yes,none,scrublet,3 prime tag,,,,,,Dominguez2022_HCA_tier
"",Smillie2019,HCA,"Regev,Aviv",aananthakrishnan@mgh.harvard.edu; aregev@broadinstitute.org; shalek@mit.edu; xavier@molbio.mgh.harvard.edu,donor_id,tsne,Illumina,10x 3' v2,EFO:0009899,GRCh38,starsolo_2.7.10a,no,custom,manual,3 prime tag,"","Samples were sequenced with 10x 3' v1, 2, AND 3. This makes it a bit difficult to select one alignment per sample. I will try to add this in the sample notes","",10.1016/j.cell.2019.06.029,,Smillie2019_HCA_tier
"",Drokhylansky2020,HCA,"","","","","","","",GRCh38,starsolo_2.7.10a,no,none,manual,,,,,,,Drokhylansky2020_HCA_tier
"",Maddipatla2023,HCA,"peng,qiu",peng.qiu@bme.gatech.edu,"",umap,"","","","","","","","","","","","",10.1093/ibd/izac201,,Maddipatla2023_HCA_tier
"",He2020,HCA,"guo,zhiyong",beijx@sysucc.org; gdtrc@163.com; rockyucsf1981@ 126.com,doi,umap,"","","",GRCh38,cell ranger 3.0.1,"",no,"","","","","",10.1186/s13059-020-02210-0,,He2020GenomeBio_HCA_tier
"",Martin2019,HCA,"ephraim,kenigsberg",ephraim.kenigsberg@mssm.edu,doi,umap,"","","",GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,no,none,"",v98,re-aligned by PanGI,"",10.1016/j.cell.2019.08.008,,Martin2019_HCA_tier
"",Lee2020,HCA,"","",doi,umap,"","","",GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,no,"","",v98,re-aligned by PanGI,,,,Lee2020_HCA_tier
"",James2020,HCA,"sarah,a,teichmann",st9@sanger.ac.uk.,doi,umap,"","","",GRCh38,CellRanger,"",no,"","","","","",10.1038/s41590-020-0602-z,,James2020_HCA_tier
"",Kinchen2018,HCA,"alison,simmons",alison.simmons@imm.ox.ac.uk,doi,umap,"","","",GRCh38-2020-A,STARsolo_2.7.10a_alpha_220818,no,none,none,"",v98,"",test description,10.1016/j.cell.2018.08.067,,Kinchen2018_HCA_tier
